Amharic	English	Afan Oromo
አሁን በጣም ጥሩ ስሜት እየተሰማህ እንደሆነ እገምታለሁ።	I bet you're feeling pretty good right now.	Yeroo ammaa kana dhuguma miira gaariin sitti dhagahama jedheen falma.
እሱ ደግሞ አይቷል።	He also saw.	Innis argeera.
ልጁ ወደ ሃይቁ ድንጋይ በመወርወር ጊዜውን አለፈ።	The boy passed the time by throwing stones into the lake.	Mucaan kun dhagaa gara harootti darbachuudhaan yeroo sana dabarseera.
እንደማትዋሽ አውቃለሁ።	I know you don't lie.	Akka hin sobne nan beeka.
እየታመምኩ ነው።	I'm getting sick.	Dhukkubni natti dhagahamaa jira.
ቶም ክሉትዝ መሆኑን አውቃለሁ።	I know it's Tom Clutz.	Toom klutz akka ta'e nan beeka.
ታሪኩ እውነት ነው ብሎ ያምናል።	He believes the story is true.	Seenaan sun dhugaa ta'uu isaa ni amana.
አንደ ጠብቅ።	Wait for one.	Al_tokko eegi.
ከዚህ በፊት በአስር ጊዜ ተሳትፎ አለኝ።	I have been involved ten times before.	Kanaan dura yeroo kudhan hirmaadhera.
ይህን ስጦታ መቀበል አልችልም።	I cannot accept this gift.	Kennaa kana fudhachuu hin danda'u.
የዛሬውን ወረቀት አንብበዋል።	You have read today's paper.	Waraqaa har'aa dubbisteettaa.
እርሳሱን ከጆሮው ጀርባ አጣበቀ።	He stuck the pencil behind his ear.	Qalama isaa gurra isaa duubaan keewwate.
ከማን ጋር ነው የምንወዳደረው?	Who are we competing with?	Eenyu waliin dorgomaa jirra?
አባቴ ወጥቷል።	My father is out.	Abbaan koo bahee jira.
እርግጠኛ ነወት እዚህ መዋኘት እንደተፈቀደልን?	Are you sure that we are allowed to swim here?	Mirkaneeffattanii, Asitti daakaa naaf eyyamuu?
እርስወ የሳይንስ አስተማሪ ነወት።	She is a science teacher.	Ati barsiisaa saayinsii ti.
ባለትዳር ነው ወይ ብየ አስባለሁ።	I wonder if he is married.	Inni fuudhee jiraa jedheen yaada.
ያ ትልቅ ችግር ሆኖ ቀጥሏል።	That continues to be a major problem.	Sun rakkoo guddaa ta'ee hafa.
እሱ ከእኔ ይበልጣል።	He is older than me.	Inni na caala.
ዛሬ ጠዋት ከእንቅልፍ ነቃሁ።	I woke up this morning.	Har'a ganama hirribaa ka'e.
ከፈለግክ አንዱን አበድርሃለሁ።	I can lend you one if you want.	Yoo feete tokko siif liqeessa.
በደቂቃ 50 ቃላት መተየብ እችላለሁ።	I can type 50 words per minute.	Daqiiqaa tokkotti jechoota 50 barreessuu nan danda'a.
የእኔ ጋዜጣ የት ነው?	Where is my newspaper?	Gaazexaan koo eessa jira?
ከዚህ በፊት እንደዚህ አይነት ችግር አጋጥሞኝ አያውቅም።	I've never had a problem like this before.	Kana dura rakkoon akkasii na mudatee hin beeku.
ውሻየን ምን መመገብ አለብኝ?	What should I feed my dog?	Saree koo maal nyaachisuu qaba?
ይህን እንደት ያውቃል።	He knows this.	Kana akkamitti beekta.
ጃፓንን ለቆ ወደ አውሮፓ ሄደ።	He left Japan and went to Europe.	Jaappaan gadhiisee gara Awurooppaatti deeme.
በክፍል ውስጥ ምሳ ትበላለህ።	You eat lunch in the classroom.	Laaqana daree keessatti nyaattuu.
አውስትራሊያ ከመሞቴ በፊት መጎብኘት ከምፈልጋቸው አገሮች አንዷ ነች።	Australia is one of the countries I want to visit before I die.	Biyyoota ani osoon hin du'in daawwachuu barbaadu keessaa Australian tokko.
ስለተፈጠረው ነገር ከቶም ጋር መነጋገር አለብኝ።	I need to talk to Tom about what happened.	Waa'ee waan ta'e Toomii wajjin haasa'uun qaba.
ቶም አናርኪስት አይደለም።	Tom is not an anarchist.	Toom nama anarchist miti.
ለሁሉም ሰው የሚሆን አይደለም።	It is not for everyone.	Nama hundaaf waan ta'u miti.
መብላት አለብን።	We have to eat.	Nyaachuu qabna.
ይህ እንደት እንደሚሰራ ታውቃለህ።	You know how this works.	Kun akkamitti akka hojjetu beektu.
ምን አይነት ቅርሶች ገዙ?	What kind of artifacts did you buy?	Yaadannoo akkamii bitatan?
ለሚቀጥለው ሳምንት ሶስት ዝግጅቶች አስቀድመው ይዘናል ።	We have already booked three events for next week.	Torban dhufuuf taateewwan sadii dursinee qabannee jirra.
ሻይ መጠጣት አትፈልግም።	She doesn't want to drink tea.	Shaayii dhuguu hin barbaadduu.
አስቸኳይ የደም ልገሳ ያስፈልጋል።	Blood donation is urgently needed.	Arjoomni dhiigaa hatattamaan barbaachisaadha.
ምናልባት ብዙ የሴት ጓደኞች ሊኖሩት ይችላል።	Maybe he has many girlfriends.	Tarii jaalalleewwan durbaa baay'ee qaba ta'a.
አንድ ጊዜ ተወርዋሪ ኮከብ አይቻለሁ።	I saw a shooting star once.	Yeroo tokko urjii furguggaatuu argeera.
ቶም የት እንደሚሰራ አስቀድሜ አውቃለሁ።	I already know where Tom works.	Toom bakka itti hojjetu dursee beeka.
ቶም ለገና አባት ደብዳቤ ፃፈ።	Tom wrote a letter to Santa.	Toom Ayyaana qilleef xalayaa iSaaf barreesse.
የወይን አቁማዳ በመክፈት ስኬቱን አከበሩ።	They celebrated his success by opening a bottle of wine.	Milkaa'ina isaas qaruuraa wayinii banuun kabajan.
ጉረኛን ማንም አይወድም።	No one likes a braggart.	Nama of jaju namni jaallatu hin jiru.
በሩ ጮሀ።	The door creaked.	Balballi sun ni iyye.
ይህን ብዙ ጊዜ ማድረግ አለቦት።	You should do this often.	Yeroo baayʼee kana gochuu qabdaa.
በጣም አስከፊ ሃሳብ ነው።	It's a terrible idea.	Sun yaada suukaneessaadha.
የጎሽ አጥንቶች በመሳሪያነት ተሰርተዋል።	Buffalo bones were made into tools.	Lafee bushaayeen meeshaa hojjetame.
አስተማሪ መሆን እፈልጋለሁ።	I want to be a teacher.	Barsiisaa ta'uu nan barbaada.
ለጥቂት ቀናት ከከተማ ውጭ እሆናለሁ።	I will be out of town for a few days.	Guyyoota muraasaaf magaalaa alan ta'a.
ስብሰባ ነበራቸው።	They had a meeting.	Walgahii qaban.
ከማን ጋር እንዳገኛቸው ምንም ለውጥ አያመጣም።	It doesn't matter who you meet them with.	Eenyu akkan qunnamu garaagarummaa hin qabu.
በመጠጥ ውስጥ ልትቀላቀልኝ ትችላለህ።	You can join me for a drink.	Dhugaatii dhuguuf na waliin ta'uu dandeessaa.
እባክወን አንድ ኩባያ ሻይ።	A cup of tea, please.	Shaayii tokko maaloo.
ያንን መፅሃፍ ለማንበብ ሞከርኩ።	I tried to read that book.	Kitaaba sana dubbisuuf yaaleen ture.
ከቦስተን ብዙም የማይርቅ እርሻ ገዛሁ።	I bought a farm not far from Boston.	Boston irraa baay'ee osoo hin fagaanne lafa qonnaa bitadhe.
ቶም ከሶስት አመት በፊት ወደ ቦስተን ተዛወረ።	Tom moved to Boston three years ago.	Toom waggaa sadii dura gara Boostonitti ce'e.
ቶም መስራት ስላለበት ወደ ኮንሰርቱ መሄድ አልቻለም።	Tom couldn't go to the concert because he had to work.	Toom hojjechuu waan qabuuf gara konsartii sanaa deemuu hin dandeenye.
የት ነው የሚኖሩት።	where do you live.	Eessa jiraatu.
ፍቅረኛዋ ዝንጀሮ ይመስላል።	Her boyfriend looks like a monkey.	Jaalalleen ishee jaldeessa fakkaata.
ጠረጴዛውን እንድያፀዱ ልረዳወ።	Let me help you clean the table.	minjaala qulqulleessuuf isin gargaara.
በኋላ ወደ ቤትህ እመጣለሁ።	I will come to your house later.	Booda mana kee dhufa.
እኔን መከተል አልነበረብህም።	You shouldn't have followed me.	Silaa na hordofuu hin qabdu turte.
አድራሻዋን አውቃለሁ።	I know her address.	Teessoo ishee nan beeka.
ማርስ ላይ ህይወት የለም ተብሏል።	It is said that there is no life on Mars.	Jireenyi Maarsii irra hin jiru jedhama.
ትኩስ አትክልትና ፍራፍሬ ለጤናወ ጠቃሚ ናቸው።	Fresh fruits and vegetables are good for health.	Fuduraalee fi muduraaleen haaraan fayyaa keessaniif gaarii dha.
ቶም ባለፈው ክረምት ከአልዛይመር በሽታ ጋር ባደረገው ጦርነት ከዚህ አለም በሞት ተለየ።	Tom passed away last summer after a battle with Alzheimer's disease.	Toom ganna darbe dhukkuba Alzaayimarii waliin erga wal'aansoo qabanii booda du'aan addunyaa kanarraa boqote.
ማንም ከእንግድህ ፈገግ የሚል አይመስልም።	No one seems to smile from your guest.	Kana booda namni kolfu hin fakkaatu.
የመግባቢያ ችሎታዋ ሊሻሻል ይችላል።	Her communication skills can be improved.	Dandeettiin walqunnamtii ishee fooyyaʼuu dandaʼa ture.
መንግስት የሚፈልገው ይህንን ነው።	This is what the government wants.	Mootummaan kan barbaadu kanumaa.
እውነታውን አወዳድር።	Compare the facts.	Dhugaa jiru wal bira qabi ilaali.
ይህ በሌሎች ቀለሞችም አለወት።	It also comes in other colors.	Halluu birootiinis kana qabdaa.
ቶም እውነተኛ ማራኪ ነው።	Tom is a real charmer.	Toom nama dhugaa nama hawwatuudha.
በመስኮቱ ላይ ዘንበል ማለት አደገኛ ነው።	Leaning on the window is dangerous.	Foddaa keessaa hirkatanii bahuun balaa qaba.
አንድ ሰው ሲመጣ እሰማለሁ።	I hear someone coming.	Nama dhufu nan dhaga'a.
እውነት ለመሆን በጣም ጥሩ ከመሰለ ምናልባት ሊሆን ይችላል።	If it seems too good to be true, it probably is.	Yoo dhugaa ta'uun baay'ee gaarii ta'ee, tarii ta'uu hin oolu.
ከሆቴሉ ፊት ለፊት ባንክ አለ።	There is a bank in front of the hotel.	Hoteelicha fuuldura baankiin jira.
ነፍሳትን እጠላለሁ።	I hate insects.	Ilbiisota nan jibba.
ጥሩ ባል ይሆናል።	He will be a good husband.	Abbaa manaa gaarii ta'a.
አሁን ደርሰሃል።	Now you have arrived.	Amma geessee.
የኔ ጫማ ካንተ ያነሱ ናቸው።	My shoes are smaller than yours.	Kopheen koo kan kee caalaa xiqqaadha.
ምክሬ ቢኖርም ሃሳቡን አይቀይርም።	He won't change his mind despite my advice.	Gorsa koo ta'us yaada isaa hin jijjiiru.
ምን ያህል እንደምታውቁት ሳይሆን ማድረግ የምትችሉት ነገር አስፈላጊ ነው።	It's not how much you know that matters, but what you can do.	Hammam akka beektu osoo hin taane waan gochuu dandeessutu lakkaa'ama.
ምንም ስህተት አንሰራም።	We do no wrong.	Waan badaa hin hojjennu.
መፍትሄው ይህ ነው ብየ እገምታለሁ።	I guess that's the solution.	Furmaanni isaa kanuma jedheen tilmaama.
መምረጥ እፈልጋለሁ።	I want to choose.	Sagalee kennuun barbaada.
ይህ በጣም የተመጣጠነ ምሳ ነው።	This is a very nutritious lunch.	Kun laaqana baayyee madaalawaa ta'edha.
ቶም በጣም በስተርጅና ሞተ።	Tom died very badly.	Toom umrii isaa baayʼee dulloomaa taʼee duʼe.
እናቴ ለልብስ ብዙ ገንዘብ ታጠፋለች።	My mother spends a lot of money on clothes.	Harmeen koo uffataaf maallaqa guddaa baafti.
ቶም የማይታመን ሰው ነው።	Tom is an incredible man.	Toom nama amanamuu hin dandeenyedha.
ሁሉንም የእግር ስራወችን ሰራ።	He did all the legwork.	Hojii miila hunda hojjete.
ትናንሽ ልጆችን አይምረጡ።	Do not choose small children.	Ijoollee xixiqqoo hin filatinaa.
በማራቶን እንሳተፋለን።	We participate in a marathon.	Maraatoonii kana irratti ni hirmaanna.
አሪፍ ነበር መሰለኝ።	I thought it was cool.	Qabbanaa'aa natti fakkaate.
ጥዋት ሙሉ እየጠበቅን ነበር።	We have been waiting all morning.	Ganama guutuu eegaa turre.
እያንዳንዱ ጭራቅ የሚጀምረው እንደ አንድ ሰው ህፃን ነው።	Each monster starts out as a human baby.	Tokkoon tokkoon bineensa hamaa akka daa'ima namaatti jalqaba.
ገናን ትወዳለህ አይደል?	You love Christmas, don't you?	Ayyaana Qillee ni jaallatta mitii?
ይህ ክፍል ለቪአይፒወች ነው።	This room is for VIPs.	Kutaan kun VIP'f kan qophaa'edha.
ሁሉም ሰው አባቱን ይወዳል።	Everyone loves their father.	Namni hunduu abbaa isaa ni jaallata.
ምን ታደርጋለህ።	what do you do.	Maal goota.
እሷ አንድ ቀልድ ነገረችው, እሱ ግን አስቂኝ እንደሆነ አላሰበም።	She told him a joke, but he didn't think it was funny.	Isheen qoosaa itti himte, inni garuu waan nama kofalchiisu itti hin fakkaanne.
ምርጫ አልሰጠናቸውም።	We didn't give them a choice.	Filannoo isaaniif hin kennine.
ቶም መጫወት ይፈልጋል።	Tom wants to play.	Toom taphachuu barbaada.
በቀጥታ ስጠኝ።	Give it to me directly.	Kallattin naaf kenni.
አደጋወች በትንሹ በሚጠበቁበት ጊዜ ይከሰታሉ።	Accidents happen when least expected.	Balaan yeroo xiqqaa eegamutti ni mudata.
መስራት መቀጠል አለብኝ።	I have to keep working.	Hojii isaa itti fufuu qofa qaba.
እኛ እውን ነን።	We are real.	Nuti dhugaa ta'uu keenya ilaalla.
ህፃናት ሲራቡ ያለቅሳሉ።	Babies cry when they are hungry.	Daa'imman yeroo beela'an boo'u.
ጢምህን ወድጀዋለሁ።	I like your beard.	Areedni kee natti tola.
ቤት ሰርተህ ታውቃለህ?	Have you ever worked at home?	Mana ijaarrattanii beektuu?
ገንዘቡን መልሶ እንደከፈለው እገምታለሁ።	I guess he paid him back.	Maallaqa sana deebisee kaffaleera jedheen tilmaama.
አንድ ሰው ስጦታ ልኮልናል።	Someone sent us a gift.	Namni tokko kennaa nuuf erge.
ደብዳቤህ ትናንት ደርሶኛል።	I received your letter yesterday.	Xalayaan kee kaleessa naaf dhufe.
የምችለውን ያህል እረዳለሁ።	I will help as much as I can.	Hamma danda'een gargaara.
ይህን በራስህ እንደሰራህ እንዳምን ትጠብቃለህ።	You expect me to believe that you did this yourself.	Kana ofumaan akka goote akkan amanu na irraa eegduu.
ስለሱ ምንም አስቤ አላውቅም።	I never thought anything of it.	Ani homaa itti yaadee hin beeku.
እንደዚያ እንደምታደርግ ቃል ግባልኝ።	Promise me that you will.	Akkas akka gootu waadaa naaf galchi.
ርእሰ ጉዳዩ እስካሁን ሙሉ በሙሉ አልተመረመረም።	The subject has not yet been fully explored.	Dhimmi kun hanga ammaatti guutummaatti hin qoratamne.
ምን አልክ።	what are you saying.	Maal jettee.
ሙዚቃ ማዳመጥ እወዳለሁ።	I like listening to music.	Muuziqaa dhaggeeffachuun natti tola.
እንግሊዘኛ በፍፁም አልችልም።	I can never speak English.	Ani tasumaa Afaan Ingilizii dubbachuu hin danda'u.
የዋጋ ጭማሪው ቀጥሏል።	The price hike continues.	Gatiin ol ka'uu itti fufeera.
ቶም ለማስደሰት ከባድ ሰው ነው።	Tom is a hard man to please.	Toom gammachiisuuf nama rakkisaadha.
ያንን ማድረግ አለበት።	It should do that.	sana gochuu qaba.
እነዚያን ሁሉ ችግሮች በቀላሉ ፈታላቸው።	He solved all those problems easily.	Rakkoolee sana hunda salphaatti hiike.
መዋኘት አትችልም።	You can't swim.	Daakaa hin dandeessu.
ቶም ስለ እሱ ማውራት አይፈልግም።	Tom doesn't want to talk about it.	Toom waa'ee kanaa dubbachuu hin barbaadu.
ቶምን በቅርብ ጊዜ አይተሃል?	Have you seen Tom recently?	Yeroo dhiyoo asitti Toom argiteettaa?
ከጓደኞች የበለጠ አስፈላጊ ነገር የለም።	Nothing is more important than friends.	Hiriyyoota caalaa wanti barbaachisaa ta'e hin jiru.
ስለ እሱ የበለጠ ማውራት አልፈለገም።	He didn't want to talk more about it.	Waa'ee kanaa kana caalaa dubbachuu hin barbaanne.
ነፍሱ በሰማይ ነበረች።	His soul was in heaven.	Lubbuun isaa samii keessa turte.
እንዳንተ ደነገጥኩኝ።	I was as shocked as you.	Anis akkuma kee rifadheera.
በትምህርት ቤታችን አካባቢ የአውቶቡስ ማቆሚያ አለ።	There is a bus stop near our school.	Naannoo mana barumsaa keenyaatti buufata konkolaataatu jira.
